timestep,demand_MW,gas_cc_1,gas_ct_1,solar_1,wind_1,load_shedding_MW
0,524.84,180.0,0.0,0.0,344.84,0.0
1,499.22,180.0,0.0,0.0,319.22,0.0
2,480.23,180.0,0.0,0.0,300.23,0.0
3,523.47,180.0,0.0,0.0,343.47,0.0
4,655.91,180.0,0.0,58.41,417.50,0.0
5,763.95,180.0,0.0,243.68,340.27,0.0
6,817.13,180.0,0.0,487.11,150.02,0.0
7,898.42,200.0,40.0,607.84,50.58,0.0
8,955.77,280.0,40.0,617.50,18.27,0.0
9,984.21,340.0,40.0,589.34,14.87,0.0
10,961.08,360.0,40.0,553.25,7.83,0.0
11,920.44,380.0,40.0,495.47,4.97,0.0
12,881.55,400.0,40.0,441.55,0.0,0.0
13,851.32,400.0,40.0,411.32,0.0,0.0
14,845.67,420.0,40.0,385.67,0.0,0.0
15,880.19,430.0,40.0,330.42,79.77,0.0
16,944.81,420.0,40.0,208.14,276.67,0.0
17,1008.55,500.0,40.0,81.78,386.77,0.0
18,979.66,530.0,40.0,13.04,396.62,0.0
19,905.12,500.0,0.0,0.0,405.12,0.0
20,813.91,430.0,0.0,0.0,383.91,0.0
21,706.64,330.0,0.0,0.0,376.64,0.0
22,594.93,240.0,0.0,0.0,354.93,0.0
23,530.16,180.0,0.0,0.0,350.16,0.0
