timestep,demand_MW,gas_cc_1,solar_1,wind_1,load_shedding_MW
0,524.84,600.0,0.0,0.0,0.0
1,499.22,600.0,0.0,0.0,0.0
2,480.23,600.0,0.0,0.0,0.0
3,523.47,600.0,0.0,0.0,0.0
4,655.91,600.0,0.0,0.0,0.0
5,763.95,600.0,0.0,0.0,0.0
6,817.13,600.0,0.0,0.0,0.0
7,898.42,600.0,0.0,0.0,0.0
8,955.77,600.0,0.0,0.0,0.0
9,984.21,600.0,0.0,0.0,0.0
10,961.08,600.0,0.0,0.0,0.0
11,920.44,600.0,0.0,0.0,0.0
12,881.55,600.0,0.0,0.0,0.0
13,851.32,600.0,0.0,0.0,0.0
14,845.67,600.0,0.0,0.0,0.0
15,880.19,600.0,0.0,0.0,0.0
16,944.81,600.0,0.0,0.0,0.0
17,1008.55,600.0,0.0,0.0,0.0
18,979.66,600.0,0.0,0.0,0.0
19,905.12,600.0,0.0,0.0,0.0
20,813.91,600.0,0.0,0.0,0.0
21,706.64,600.0,0.0,0.0,0.0
22,594.93,600.0,0.0,0.0,0.0
23,530.16,600.0,0.0,0.0,0.0
